2019-02-03 21:58:29,729 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.controller.SkillsController ;  Method: SkillsController.findAllSkills(..)
2019-02-03 21:59:18,497 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:59:18,498 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:59:18,498 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:59:18,498 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getUsernameFromToken(..)
2019-02-03 21:59:18,503 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getUsernameFromToken(..)
2019-02-03 21:59:18,504 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getRolesFromToken(..)
2019-02-03 21:59:18,509 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getRolesFromToken(..)
2019-02-03 21:59:18,510 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.isTokenExpired(..)
2019-02-03 21:59:18,515 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.isTokenExpired(..)
2019-02-03 21:59:18,515 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:59:18,515 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:59:18,516 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:59:18,516 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:59:18,516 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:59:18,523 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.controller.SkillsController ;  Method: SkillsController.findAllSkills(..)
2019-02-03 21:59:18,525 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.service.SkillService ;  Method: SkillService.findAllSkills(..)
2019-02-03 21:59:18,526 INFO-LogService.java>beforeMethod-Entering.....class com.sun.proxy.$Proxy165 ;  Method: SkillRepository.findAll(..)
